Tiempo (s),Voltaje Pico-Pico (V),Ajuste (V),Residuales (V)
9.6799993520,15.6000004000,15.5257272227,0.0742731773
9.6999998090,15.1999998000,15.2979833383,-0.0979835383
9.7199993130,15.0000000000,15.0882322620,-0.0882322620
9.7399997710,15.0000000000,14.8985884517,0.1014115483
9.7600002290,14.8000002000,14.7309263041,0.0690738959
9.7799997330,14.6000004000,14.5868283742,0.0131720258
9.8000001910,14.4000006000,14.4675560208,-0.0675554208
9.8199996950,14.4000006000,14.3740848696,0.0259157304
9.8400001530,14.1999998000,14.3070535965,-0.1070537965
9.8599996570,14.1999998000,14.2667973228,-0.0667975228
9.8800001140,14.1999998000,14.2533237264,-0.0533239264
9.8999996190,14.1999998000,14.2663336825,-0.0663338825
9.9200000760,14.4000006000,14.3052248748,0.0947757252
9.9399995800,14.4000006000,14.3690991730,0.0309014270
9.9600000380,14.6000004000,14.4567926401,0.1432077599
9.9799995420,14.4000006000,14.5668697449,-0.1668691449
10.0000000000,14.6000004000,14.6976775097,-0.0976771097
10.0199995000,14.8000002000,14.8473272344,-0.0473270344
10.0400000000,15.0000000000,15.0137699556,-0.0137699556
10.0599995000,15.1999998000,15.1947653615,0.0052344385
10.0799999000,15.4000006000,15.3879752199,0.0120253801
10.0999994000,15.6000004000,15.5909251123,0.0090752877
10.1199999000,16.0000000000,15.8011056675,0.1988943325
10.1399994000,16.0000000000,16.0159264370,-0.0159264370
10.1599998000,16.2000008000,16.2328279493,-0.0328271493
10.1799994000,16.3999996000,16.4492320083,-0.0492324083
10.1999998000,16.6000004000,16.6626454009,-0.0626450009
10.2199993000,16.8000011000,16.8706174033,-0.0706163033
10.2399998000,17.0000000000,17.0708397179,-0.0708397179
10.2600002000,17.2000008000,17.2611028203,-0.0611020203
10.2799997000,17.3999996000,17.4393554295,-0.0393558295
10.3000002000,17.3999996000,17.6037444697,-0.2037448697
10.3199997000,18.0000000000,17.7525770776,0.2474229224
10.3400002000,18.0000000000,17.8844011987,0.1155988013
10.3599997000,18.0000000000,17.9979598908,0.0020401092
10.3800001000,18.2000008000,18.0922540078,0.1077467922
10.3999996000,18.2000008000,18.1665065665,0.0334942335
10.4200001000,18.3999996000,18.2202022708,0.1797973292
10.4399996000,18.3999996000,18.2530617920,0.1469378080
10.4600000000,18.3999996000,18.2650616053,0.1349379947
10.4799995000,18.2000008000,18.2564170797,-0.0564162797
10.5000000000,18.2000008000,18.2275802967,-0.0275794967
10.5199995000,18.2000008000,18.1792344360,0.0207663640
10.5400000000,18.0000000000,18.1122704881,-0.1122704881
10.5599995000,18.0000000000,18.0277922805,-0.0277922805
10.5799999000,18.0000000000,17.9270742819,0.0729257181
10.5999994000,17.8000011000,17.8115749126,-0.0115738126
10.6199999000,17.6000004000,17.6828799057,-0.0828795057
10.6399994000,17.6000004000,17.5427250949,0.0572753051
10.6599998000,17.3999996000,17.3929243629,0.0070752371
10.6799994000,17.3999996000,17.2353983883,0.1646012117
10.6999998000,17.0000000000,17.0721001061,-0.0721001061
10.7199993000,17.0000000000,16.9050424099,0.0949575901
10.7399998000,16.6000004000,16.7362182226,-0.1362178226
10.7600002000,16.6000004000,16.5676317373,0.0323686627
10.7799997000,16.6000004000,16.4012477548,0.1987526452
10.8000002000,16.3999996000,16.2389496852,0.1610499148
10.8199997000,16.0000000000,16.0825727649,-0.0825727649
10.8400002000,16.0000000000,15.9338206026,0.0661793974
10.8599997000,15.8000002000,15.7943090261,0.0056911739
10.8800001000,15.6000004000,15.6654909546,-0.0654905546
10.8999996000,15.6000004000,15.5486945755,0.0513058245
10.9200001000,15.6000004000,15.4450632276,0.1549371724
10.9399996000,15.1999998000,15.3555885506,-0.1555887506
10.9600000000,15.1999998000,15.2810617997,-0.0810619997
10.9799995000,15.1999998000,15.2221018232,-0.0221020232
11.0000000000,15.1999998000,15.1791237137,0.0208760863
11.0199995000,15.1999998000,15.1523591015,0.0476406985
11.0400000000,15.1999998000,15.1418400801,0.0581597199
11.0599995000,15.1999998000,15.1474127862,0.0525870138
11.0799999000,15.1999998000,15.1687380531,0.0312617469
11.0999994000,15.1999998000,15.2052968708,-0.0052970708
11.1199999000,15.1999998000,15.2564072018,-0.0564074018
11.1399994000,15.4000006000,15.3212207230,0.0787798770
11.1599998000,15.1999998000,15.3987550934,-0.1987552934
11.1799994000,15.6000004000,15.4878843280,0.1121160720
11.1999998000,15.4000006000,15.5873801215,-0.1873795215
11.2199993000,15.6000004000,15.6958990605,-0.0958986605
11.2399998000,15.6000004000,15.8120342632,-0.2120338632
11.2599993000,15.8000002000,15.9342925643,-0.1342923643
11.2799997000,16.0000000000,16.0611578504,-0.0611578504
11.3000002000,16.2000008000,16.1910701846,0.0089306154
11.3199997000,16.3999996000,16.3224582140,0.0775413860
11.3400002000,16.3999996000,16.4537804433,-0.0537808433
11.3599997000,16.6000004000,16.5834965897,0.0165038103
11.3800001000,16.8000011000,16.7101364397,0.0898646603
11.3999996000,16.8000011000,16.8322673172,-0.0322662172
11.4200001000,16.8000011000,16.9485560961,-0.1485549961
11.4399996000,17.2000008000,17.0577375582,0.1422632418
11.4600000000,17.2000008000,17.1586725283,0.0413282717
11.4799995000,17.2000008000,17.2503180500,-0.0503172500
11.5000000000,17.3999996000,17.3317745417,0.0682250583
11.5199995000,17.3999996000,17.4022598391,-0.0022602391
11.5400000000,17.3999996000,17.4611477903,-0.0611481903
11.5599995000,17.6000004000,17.5079451729,0.0920552271
11.5799999000,17.6000004000,17.5423181778,0.0576822222
11.5999994000,17.3999996000,17.5640757873,-0.1640761873
11.6199999000,17.8000011000,17.5731820678,0.2268190322
11.6399994000,17.6000004000,17.5697461064,0.0302542936
11.6599998000,17.6000004000,17.5540217791,0.0459786209
